,0,1,2,3,4
0,thevillagemarketatl,Solid job searching tips,Yes be the first. As a recruiter the first set of applicants are the one we usually focus on.,agreement,
1,thevillagemarketatl,Solid job searching tips,Like 'fresh fries'!! 😂😂🤣 Love it!,joy/happiness,
2,thevillagemarketatl,Solid job searching tips,"Like I love how the only way to get a job nowadays is to use extreme knowledge, but we get told we're lazy and none of us want to work, lmao",anger/irritation,
3,thevillagemarketatl,Solid job searching tips,"I'm not sure being the first makes you more likely to get the job. Normally HR posts the job waits for a few days to gather the applicants and then start scheduling interviews. I have not seen them specifically look for the first person that applied when they setup interviews. However, it doesn't hurt to be among the first set.",confusion,
4,thevillagemarketatl,Solid job searching tips,Why not use LinkedIn?,other,
5,thevillagemarketatl,Solid job searching tips,😂 the end,joy/happiness,
6,thevillagemarketatl,Solid job searching tips,This is phenomenal advice and also….incredibly accurate. You can also utilize these strategies for LinkedIn as well.,agreement,
7,thevillagemarketatl,Solid job searching tips,"Dorking at it's best, brava👏🏾",other,
8,thevillagemarketatl,Solid job searching tips,Do you have any tips for people trying to get into project management. I've been searching for almost a year now. Even networking hasn't gotten me where I'd like to be (employed).,other,
9,thevillagemarketatl,Solid job searching tips,i adore u thank u so much!,gratitude,
10,thevillagemarketatl,Solid job searching tips,"As a fry lover, I appreciate this.",joy/happiness,
11,thevillagemarketatl,Solid job searching tips,👏👏👏👏👏,other,
12,thevillagemarketatl,Solid job searching tips,You are wonderful! Thank you!!!,gratitude,
13,thevillagemarketatl,Solid job searching tips,Thank you!🙌🏿🙌🏿🙌🏿,gratitude,
14,thevillagemarketatl,Solid job searching tips,@lilosiguesol,other,
15,velvetfiasco,what black confusion looks like,I love being BLACK😂😂😂 That is a universal facial expression handed down from 5 generations ago😂😂😂 it means: WHAT TF IS THIS AND WHY ARE WE HERE 🤣🤣👏🏽,joy/happiness,
16,velvetfiasco,what black confusion looks like,Thats the same reaction YT people have listening to sexyy red and ice spice 😂,joy/happiness,
17,velvetfiasco,what black confusion looks like,Over dramatic confusion 😂 🤷‍♂️,joy/happiness,
